mfe_0,mfe_1,mfe_2,mfe_3,mfe_4,mfe_5,mfe_6,mfe_7,mfe_8,mfe_9,mfe_10,mfe_11,mfe_12,rms_x,var_x,rms_y,var_y,rms_z,var_z
-1.8631963,-2.6766157,-10.300667,-9.825513,-12.536046,-18.171795,-15.829983,-18.732521,-21.68454,-23.87175,-22.84938,-26.563791,-30.626684,0.06067463838511163,9.124876403808595e-05,0.049076866427670125,0.00010828729248046873,0.7941926073585726,0.00015080992126464843
-1.706542,-6.1379676,-9.8533535,-9.721281,-12.144119,-17.198418,-14.983956,-19.627945,-22.789703,-23.7362,-22.678726,-27.395332,-30.815607,0.05996163731269143,8.761224365234376e-05,0.04893753367455738,7.773851013183594e-05,0.794126300673198,9.512388610839845e-05
-2.236881,-3.9828763,-11.856871,-10.278727,-12.889759,-16.823261,-15.008553,-19.370636,-22.045296,-24.225147,-23.43391,-27.636066,-31.477722,0.0587680999794558,6.563108825683594e-05,0.04940240413360151,9.705430603027342e-05,0.7944938478321679,0.00013297789001464843
-3.167367,-5.074893,-11.207284,-10.935106,-13.279044,-16.332869,-15.644465,-19.128876,-22.296276,-24.645376,-24.6557,-28.303892,-32.321705,0.05901424636826317,5.814573669433594e-05,0.048216006939556,7.780113220214843e-05,0.792055402648235,0.00014344712829589842
-1.6590552,-3.8668797,-8.870584,-11.190591,-12.916458,-15.7828245,-15.767319,-18.96259,-21.992428,-24.480442,-24.429419,-27.631647,-31.484688,0.059093700423035786,5.609075927734376e-05,0.04823894536170308,0.00010254705810546874,0.795236913540378,0.0001344988861083984
-2.4880962,-4.802427,-11.123039,-12.103097,-13.502447,-17.513023,-16.774296,-19.900007,-22.839218,-26.324213,-26.564003,-29.353012,-33.30928,0.05890723432533032,4.964013671875e-05,0.049390665780195124,0.00015153465270996094,0.7956877740756587,0.00011854051208496094
-1.7173282,-3.490155,-11.576869,-11.921818,-13.268132,-17.929865,-18.90959,-21.479475,-23.665188,-25.995724,-26.585829,-29.29271,-33.618866,0.058774331106957844,4.0850082397460935e-05,0.04811621647725367,0.00014237229919433593,0.7933268991845206,7.862486267089845e-05
-1.112195,-3.2850308,-12.255758,-13.165318,-15.3621025,-19.665955,-19.729506,-21.511856,-23.744816,-26.715836,-28.01202,-30.00427,-34.0571,0.0590634817213384,3.1422363281250004e-05,0.04805894157422087,3.1091308593750005e-05,0.7954814906721295,0.00010727117919921877
-0.918407,-3.4244463,-13.016966,-14.741881,-16.379961,-19.93679,-20.201824,-21.913418,-24.067867,-26.747993,-27.374557,-29.61153,-34.032806,0.058630327125038816,3.306626892089844e-05,0.04706196437900715,2.305259704589844e-05,0.7947222472772376,0.00011110289001464844
-1.1878574,-3.9187376,-13.011737,-14.923266,-17.027155,-20.265425,-20.097937,-22.449955,-23.978512,-26.759693,-27.849081,-29.873295,-34.36279,0.05994853037352386,3.449205017089843e-05,0.048332010886856215,2.6354843139648443e-05,0.7948693836323882,9.663633728027344e-05
-1.4796741,-3.8334017,-14.12331,-17.249634,-19.044485,-21.68613,-21.091705,-21.380024,-23.665823,-26.817875,-28.519218,-29.79044,-34.27091,0.0591182256128292,2.6858886718750004e-05,0.04794195862169562,2.3588562011718747e-05,0.7946028229500789,0.00010132440185546874
-1.34908,-3.5449135,-13.363007,-17.730835,-20.187809,-22.34845,-21.289612,-21.351223,-23.764565,-26.189686,-28.336678,-29.62031,-33.71667,0.05854034024112668,3.026733398437499e-05,0.0482906354651998,2.761045837402344e-05,0.795239542254678,0.00010140647888183594
-1.2502134,-6.8205533,-15.212339,-19.96967,-21.491,-22.622225,-22.81417,-22.332582,-24.084888,-27.045786,-29.068558,-29.32855,-33.88571,0.05937782682415529,2.7188659667968753e-05,0.04846489900481456,3.5837646484375e-05,0.7944102891576438,0.00014294866943359376
-1.8064373,-10.156952,-16.542208,-20.311272,-21.270718,-23.011528,-22.813026,-23.484478,-25.049282,-27.967777,-29.516167,-30.547821,-34.13283,0.059192255781742684,2.9173278808593746e-05,0.04894782203762045,3.263816833496094e-05,0.7944173767647957,0.00014179833984374996
-1.2186258,-9.65531,-17.57658,-20.865082,-22.37745,-23.866283,-23.358011,-24.128086,-25.232168,-27.210464,-29.584248,-30.825527,-34.60283,0.059262202684275816,2.593650817871093e-05,0.04786072935155188,2.9201110839843756e-05,0.793190769026806,0.00011052671813964842
-1.7763689,-9.21398,-17.276463,-21.243437,-22.123295,-23.50388,-24.132858,-23.739801,-25.931885,-28.248482,-30.619553,-31.354027,-35.54853,0.05853538760068562,2.877679443359376e-05,0.04827025056744319,3.9497314453125e-05,0.7950688976446967,0.0001343955078125
-1.5002604,-8.00265,-16.103249,-20.088408,-21.407446,-23.194105,-23.055992,-23.060026,-24.925488,-27.236038,-29.492619,-30.85456,-34.823433,0.059198957774292786,2.7203125e-05,0.04853552958231668,2.7258163452148435e-05,0.7941868050241165,0.0001415936126708984
-1.5835892,-9.4628105,-17.46857,-21.199059,-22.577885,-23.606037,-24.763262,-23.764198,-25.499615,-28.680649,-30.30725,-31.992678,-35.781128,0.05883829178416149,2.7801452636718753e-05,0.04837887076729623,3.876458740234374e-05,0.7943659085429544,0.00019033921813964847
-1.1620173,-8.739047,-17.15713,-20.220787,-21.947641,-21.058777,-21.203411,-23.839933,-25.278969,-28.542183,-30.635532,-31.757954,-35.893406,0.05895837071645605,2.682151794433594e-05,0.04802702206709065,3.435960388183594e-05,0.7927393448954786,0.00016889349365234373
-11.468285,-14.882774,-18.526642,-22.037376,-24.249638,-28.31329,-29.37268,-30.738676,-31.588173,-30.859041,-33.421165,-36.233093,-39.29832,0.05839197027317038,1.5194320678710935e-05,0.04815710804921806,2.2226547241210938e-05,0.7935947152177139,5.113061523437499e-05
-2.7854025,-2.5952377,-3.393661,-6.2933335,-8.4782505,-13.396437,-15.453191,-18.822521,-19.476574,-15.590097,-18.4654,-24.306847,-28.138285,0.05924172954540785,1.1968994140625001e-05,0.04833153732295301,1.0136169433593751e-05,0.7937959144108463,1.7079452514648437e-05
