X,Y,Z
1.09375,0.00390625,-0.42578125
1.09375,0.00390625,-0.42578125
1.09375,0.00390625,-0.42578125
1.09375,0.00390625,-0.42578125
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.01171875,0.04296875,-0.421875
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.08203125,-0.04296875,-0.48828125
1.0,-0.015625,0.03125
1.0,-0.015625,0.03125
1.0,-0.015625,0.03125
1.0,-0.015625,0.03125
1.0,-0.015625,0.03125
1.0,-0.015625,0.03125
1.0,-0.015625,0.03125
1.0,-0.015625,0.03125
1.0,-0.015625,0.03125
1.0,-0.015625,0.03125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.00390625,-0.0078125,-0.0078125
1.03515625,-0.0234375,-0.0546875
1.03515625,-0.0234375,-0.0546875
1.03515625,-0.0234375,-0.0546875
1.03515625,-0.0234375,-0.0546875
1.03515625,-0.0234375,-0.0546875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0625,0.00390625,-0.51171875
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
1.0546875,-0.00390625,-0.234375
0.9921875,0.0390625,-0.09375
0.9921875,0.0390625,-0.09375
0.9921875,0.0390625,-0.09375
0.9921875,0.0390625,-0.09375
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.0546875,-0.00390625,-0.203125
1.03125,0.046875,-0.375
1.03125,0.046875,-0.375
1.03125,0.046875,-0.375
1.03125,0.046875,-0.375
1.03125,0.046875,-0.375
1.03125,0.046875,-0.375
1.03125,0.046875,-0.375
1.03125,0.046875,-0.375
1.03125,0.046875,-0.375
1.03125,0.046875,-0.375
1.03515625,-0.02734375,-0.2265625
1.03515625,-0.02734375,-0.2265625
1.03515625,-0.02734375,-0.2265625
1.03515625,-0.02734375,-0.2265625
1.03515625,-0.02734375,-0.2265625
1.03515625,-0.02734375,-0.2265625
1.03515625,-0.02734375,-0.2265625
1.03515625,-0.02734375,-0.2265625
1.03515625,-0.02734375,-0.2265625
1.03515625,-0.02734375,-0.2265625
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.125
1.0234375,-0.0078125,-0.0625
1.0234375,-0.0078125,-0.0625
1.0234375,-0.0078125,-0.0625
1.0234375,-0.0078125,-0.0625
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.0625,0.01171875,-0.28125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
1.09765625,0.0234375,-0.453125
0.984375,-0.0078125,-0.09375
0.984375,-0.0078125,-0.09375
0.984375,-0.0078125,-0.09375
0.984375,-0.0078125,-0.09375
0.984375,-0.0078125,-0.09375
0.99609375,-0.01953125,-0.01953125
0.99609375,-0.01953125,-0.01953125
