X,Y,Z
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
0.98046875,-0.0078125,0.43359375
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.08203125,-0.046875,0.12890625
1.01953125,0.0078125,-0.63671875
1.01953125,0.0078125,-0.63671875
1.01953125,0.0078125,-0.63671875
1.01953125,0.0078125,-0.63671875
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.08984375,-0.0234375,-0.12109375
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,0.04296875,0.01171875
1.05078125,-0.0390625,-0.64453125
1.05078125,-0.0390625,-0.64453125
1.05078125,-0.0390625,-0.64453125
1.05078125,-0.0390625,-0.64453125
1.05078125,-0.0390625,-0.64453125
1.05078125,-0.0390625,-0.64453125
1.05078125,-0.0390625,-0.64453125
1.05078125,-0.0390625,-0.64453125
1.05078125,-0.0390625,-0.64453125
1.05078125,-0.0390625,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.0546875,0.0,-0.64453125
1.03125,-0.00390625,-0.9296875
1.03125,-0.00390625,-0.9296875
1.03125,-0.00390625,-0.9296875
1.03125,-0.00390625,-0.9296875
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.9921875,0.01171875,0.40625
0.99609375,-0.01953125,0.18359375
0.99609375,-0.01953125,0.18359375
0.99609375,-0.01953125,0.18359375
0.99609375,-0.01953125,0.18359375
0.99609375,-0.01953125,0.18359375
0.99609375,-0.01953125,0.18359375
0.99609375,-0.01953125,0.18359375
0.99609375,-0.01953125,0.18359375
